2017-12-23 09:13:59.531643 [DEBUG][ APP][00001][main.go:21]123456
2017-12-23 09:13:59.531674 [ INFO][ APP][00001][main.go:22]qweqqeqw
2017-12-23 09:13:59.531825 [ INFO][ APP][00010][main.go:27]qeqwe
2017-12-23 09:13:59.531880 [ INFO][ APP][00009][main.go:27]qeqwe
2017-12-23 09:13:59.531911 [ INFO][ APP][00012][main.go:27]qeqwe
2017-12-23 09:13:59.531863 [ INFO][ APP][00008][main.go:27]qeqwe
2017-12-23 09:13:59.531936 [ INFO][ APP][00011][main.go:27]qeqwe
2017-12-23 09:13:59.531919 [ INFO][ APP][00014][main.go:27]qeqwe
2017-12-23 09:13:59.531954 [ INFO][ APP][00013][main.go:27]qeqwe
2017-12-23 09:13:59.531967 [ INFO][ APP][00015][main.go:27]qeqwe
2017-12-23 09:13:59.531918 [ INFO][ APP][00007][main.go:27]qeqwe
2017-12-23 09:13:59.532021 [ INFO][ APP][00016][main.go:27]qeqwe
